Subfamily,Genus Name Pub,Species Name Pub,Status,Exotic,Island Name,Island Group,Archipelago,Biogeographic realm,Lat,Long
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Tarama,Miyako Islands,Sakishima Islands,Temperate Northern Pacific,24.656982,124.699288
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Ishigaki,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.433381,124.205545
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Iriomote,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.335813,123.814688
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Taketomi-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.325062,124.088119
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kuro-shima,Mi-shima Group,Osumi Islands,Temperate Northern Pacific,30.830824,129.934198
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kohama-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,32.964045,132.073693
Ponerinae,Hypoponera,nippona,Land + Island,Native,Nakanoshima,Tokara Islands,Satsunan Islands,Temperate Northern Pacific,29.848849,129.871098
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Hateruma,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.05851,123.782183
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Yonaguni-jima,Yaeyama Islands,Sakishima Islands,Temperate Northern Pacific,24.455253,122.988732
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Kitadaito-jima,-,Daito Islands,Temperate Northern Pacific,25.94437,131.307262
Dolichoderinae,Tapinoma,melanocephalum,Land + Island,Exotic,Minami-Daito,-,Daito Islands,Temperate Northern Pacific,25.843178,131.242729
Dolichoderinae,Tapinoma,sahohime,Island Only,Native,Jogashima,-,-,Temperate Northern Pacific,32.945141,132.449153
